id,symbol,current_price,market_cap,total_volume,price_change_percentage_24h
bitcoin,btc,71936.0,1441145979377,53014212647,5.09001
ethereum,eth,2242.22,271034832100,25243060745,7.76522
tether,usdt,0.999948,184145212756,85351351630,0.00072
ripple,xrp,1.38,84894146809,2996834507,5.61394
binancecoin,bnb,610.25,83273685951,1407298316,1.98959
usd-coin,usdc,0.999928,77912329827,15796962548,-0.00994
solana,sol,84.34,48399625713,5129882266,6.67096
tron,trx,0.31804,30141445615,507928067,1.37588
figure-heloc,figr_heloc,1.033,17077406797,34519587,1.32633
dogecoin,doge,0.094686,14564638295,1803246781,4.43384
