id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,69569.0,1395426825201,1,1395426825201,50403865531,70091.0,67805.0,-98.38357094836829,-0.14122,1278305572.0,0.09169,20012765.0,20012765.0,21000000.0,126080.0,-44.82148,2025-10-06T18:57:42.558Z,67.81,102495.55268,2013-07-06T00:00:00.000Z,,2026-04-07T21:28:34.671Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2130.92,257654950307,2,257654950307,17755652867,2145.97,2064.21,-15.047687004647742,-0.70121,-1382584103.2086792,-0.53374,120691190.9080014,120691190.9080014,,4946.05,-56.91675,2025-08-24T19:21:03.333Z,0.432979,492053.03998,2015-10-20T00:00:00.000Z,"{'times': 39.946317015902196, 'currency': 'btc', 'percentage': 3994.63170159022}",2026-04-07T21:28:34.780Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999813,184115850886,3,189581732997,74401274061,1.0,0.99976,-0.000201479106541336,-0.02015,-35112078.55175781,-0.01907,184151480311.9992,189618420160.6562,,1.32,-24.43478,2018-07-24T00:00:00.000Z,0.572521,74.63113,2015-03-02T00:00:00.000Z,,2026-04-07T21:28:34.761Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,609.65,83232034593,4,83232034593,974319651,612.56,593.55,3.77,0.62243,620846567.0,0.75153,136356780.57,136356780.57,200000000.0,1369.99,-55.49995,2025-10-13T08:41:24.131Z,0.0398177,1530995.39037,2017-10-19T00:00:00.000Z,,2026-04-07T21:28:34.904Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.33,81671532644,5,132984506825,1945257501,1.34,1.3,-0.009497094354521396,-0.70953,-540723814.3239594,-0.65772,61405531717.0,99985687636.0,100000000000.0,3.65,-63.55285,2025-07-18T03:40:53.808Z,0.00268621,49375.00073,2014-05-22T00:00:00.000Z,,2026-04-07T21:28:34.689Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,0.999902,77889552465,6,77894707631,11997291262,1.001,0.999691,2.343e-05,0.00234,34321702.0,0.04408,77901697810.22017,77906853780.1094,,1.043,-4.18097,2018-11-15T00:00:00.000Z,0.877647,13.92258,2023-03-11T08:02:13.981Z,,2026-04-07T21:28:34.867Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,82.28,47283537276,7,47283538549,3690630087,82.87,78.48,0.496465,0.60706,439779891.0,0.93882,573710273.9530315,573710289.4061041,,293.31,-71.94827,2025-01-19T11:15:27.957Z,0.500801,16329.49202,2020-05-11T19:35:23.449Z,,2026-04-07T21:28:34.647Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.314565,29817069349,8,29817081791,435890513,0.316742,0.313425,-0.001143590378430759,-0.36223,-98568584.75168228,-0.32949,94768701784.7443,94768741328.1613,,0.431288,-27.06393,2024-12-04T00:10:40.323Z,0.00180434,17333.77,2017-11-12T00:00:00.000Z,"{'times': 164.56040556339647, 'currency': 'usd', 'percentage': 16456.04055633965}",2026-04-07T21:28:19.333Z
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.033,17077325786,9,17077325786,34607241,1.033,1.012,0.0134777,1.32205,292442466.0,1.7423,16532831848.517,16532831848.517,,1.049,-1.54268,2026-03-09T17:00:25.937Z,0.155357,564.87945,2025-10-31T14:27:24.456Z,,2026-04-07T21:28:19.085Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.092473,14217297284,10,15670289449,1097620857,0.092758,0.090153,0.00090496,0.98829,141392733.0,1.0045,153736356383.7052,169448043126.5791,,0.731578,-87.35974,2021-05-08T05:08:23.458Z,8.69e-05,106308.94965,2015-05-06T00:00:00.000Z,,2026-04-07T21:28:19.416Z
